Company,Ticker,Open price,Current price,Today's high,Today's low,52-week high,52-week low,
Facebook,Fb,181.33,180.11,181.4,177.67,208.66,123.02,
Google,Goog,1241.96,1241.39,1245,1232.27,1289.27,970.11,
Twitter,Twtr,42.38,42.44,42.49,41.72,45.86,26.19,
Amazon,Amzn,1762.79,1739.84,1763.37,1731.5,2035.8,1307,
Clorox,Clx,151.65,150.59,151.95,150.53,167.7,141.53,
3M,Mmm,164,163.83,164.41,162.8,219.75,154,
Honeywell,Hon,166.87,167.03,168,166.47,178.47,123.48,
Microsoft,Msft,139.44,139.54,140.18,138.44,142.37,93.96,
Apple,Aapl,220,219.89,220.94,218.83,233.47,142,
GoPro,Gpro,4.62,4.68,4.79,4.62,7.65,3.62,
AMD,Amd,29.67,29.47,29.77,29,35.55,16.03,
Disney,Dis,133.14,131.27,133.3,129.06,147.15,100.35,
Tesla,Tsla,230.66,242.56,243.31,227.4,379.49,176.99,
Netflix,Nflx,266.42,263.31,268.05,260.2,386.8,231.23,
Addidas,Addyy,151.1,152.81,153.08,151.1,165.01,101.48,
Nice Ltd,Nice,145.64,144.46,146.42,143.96,155.76,100.54,
Sony,Sne,59.91,59.41,60.08,59.23,61.02,41.91,
McDonald's,Mcd,214.22,212.6,215.67,212.48,221.93,161.82,
Delta Air Lines,Dal,58.11,58.78,58.81,57.93,63.44,45.08,
IBM,Ibm,143.17,143.55,143.88,141.41,154.36,105.94,
Lenovo,LNVGY,13.3,13.16,13.3,13.08,19.04,11.58,
Dell Technologies,Dell,53,52.15,53,51.32,70.55,42.02,
Snap Inc.,Snap,17.03,17,17.04,16.66,18.36,4.82,
Ford Motor Company,F,9.23,9.14,9.23,9.07,10.56,7.41,
Consolidated Edison,Ed,94.36,94.65,94.96,93.99,94.96,73.3,
LYFT Inc,Lyft,41.67,41.9,42.14,40.67,88.6,40.31,
TripAdvisor,Trip,37.6,37.89,38.01,37.29,69,35.41,
Yelp,Yelp,34.82,35.08,35.27,34.61,51.15,29.33,
JetBlue Airways,Jblu,16.92,16.94,17.01,16.77,19.83,15.19,
Citigroup Inc,C,69.32,69.11,69.53,68.8,73.99,48.42,
JPMorgan Chase & Co,Jpm,117.88,117.03,118.05,116.95,120.4,91.11,
Bank of America Corp,Bac,29.21,29.13,29.33,29.05,31.17,22.66,
